Query Recipe,Query Ingredients,Model,Rank,Recommended Recipe,Recommended Ingredients,predicted_relevance_tfidf,relevance_tfidf,Recommended Recipe W2V,Recommended Ingredients W2V,predicted_relevance_word2vec,relevance_word2vec
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,1,Домашняя шаурма с маринованным луком,Армянский лаваш 4 штуки Куриная грудка 1 штука Сладкий красный лук 1 штука Молодая капуста 1 штука Огурцы 2 штуки Помидоры 2 штуки Сладкий перец 1 штука Петрушка 1 пучок Фермерская сметана 250 г Чеснок по вкусу Белый винный уксус по вкусу Соль по вкусу Сахар по вкусу,0.4877801437598932,"1,00",Бургер с говядиной,Помидоры Лук репчатый Говяжья вырезка Салат айсберг Красный лук Огурцы Булочка для гамбургеров Яйцо куриное Маринованные огурцы Вустерширский соус Соус табаско Майонез Подсолнечное масло Вода,0.8447035551071167,"0,50"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,2,Куриные котлеты «Нежные»,Лук репчатый Куриная грудка Майонез Пшеничная мука,0.47543261639218065,"1,00",Плов по‑японски,Круглый рис Говядина Сладкий перец Вареная ветчина Яйцо куриное Соевый соус Молотый красный перец Лук репчатый Огурцы,0.8445180654525757,"0,00"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,3,Простой маринованный красный лук,Красный лук 600 г Красный винный уксус 300 мл Сахар 150 г,0.47328862958299744,"1,00","Курица, запеченная с кабачком, томатами черри и перцем",Куриная грудка Кабачки Помидоры черри Сладкий перец Лук репчатый Чеснок Растительное масло Соль Специи Соевый соус,0.8439886569976807,"0,50"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,4,Куриный салат с курагой,Лук репчатый ½ головки Куриная грудка 2 штуки Уксус по вкусу Соль по вкусу Курага 80 г Огурцы 1 штука Майонез 90 г,0.4638063627687022,"1,00",Куриная печень с овощным миксом,Куриная печень Лук репчатый Морковь Замороженная кукуруза Помидоры черри Салат корн Сладкий перец Адыгейский сыр Соевый соус Оливковое масло,0.8436176776885986,"0,50"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,5,Рулет из лаваша с курицей и сыром,Армянский лаваш 3 штуки Куриная грудка 4 штуки Яйцо куриное 4 штуки Сыр 300 г Майонез 200 г Зелень по вкусу,0.45305425313293823,"1,00",Азу с овощами,Говядина Помидоры Лимон Маслины Сладкий перец Красная консервированная фасоль Лук репчатый Чеснок Маринованные огурцы Зелень Соль Перец черный молотый Растительное масло,0.8428623676300049,"0,00"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,6,Домашняя шаурма с курицей,Помидоры 1 штука Петрушка 1 пучок Сметана 2 столовые ложки Чеснок 2 зубчика Кетчуп по вкусу Майонез по вкусу Армянский лаваш 4 штуки Филе куриной грудки 200 г Молодая капуста 100 г Огурцы 2 штуки Сладкий перец 1 штука Соль по вкусу Белый винный уксус ½ чайной ложки Оливковое масло по вкусу Морковь по-корейски 100 г Зелень 1 пучок Сладкий лук 1 головка Сахар по вкусу Специи по вкусу,0.4500453609008591,"1,00","Кальмары, тушеные с перцем и кунжутом",Кальмары Кунжут Лук репчатый Сладкий перец Чеснок Яблочный уксус Помидоры,0.8427802324295044,"0,00"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,7,Салат с куриной грудкой,Куриная грудка 300 г Яйцо куриное 3 штуки Сыр 50 г Огурцы 2 штуки Майонез по вкусу,0.4489446536045078,"1,00",Запеченное куриное филе с овощами,Перец черный молотый Соль Морковь по-корейски Майонез Соленые огурцы Российский сыр Шампиньоны Чеснок Сладкий перец Помидоры Лук репчатый Куриная грудка,0.8427095413208008,"0,50"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,8,«Гаспачо из свежих овощей»,Помидоры Огурцы Сладкий перец Сладкий красный лук Чеснок Белый хлеб Красный винный уксус Лимонный сок Оливковое масло Сахар Соль,0.44434230501413685,"1,00",Фунчоза с сезонными овощами,Фунчоза Баклажаны Помидоры Морковь Лук репчатый Сладкий перец Перец чили Соевый соус Чеснок Жареный кунжут Растительное масло,0.8421190977096558,"0,00"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,9,Шашлык из свинины в лаваше,Свинина Армянский лаваш Белокочанная капуста Огурцы Белый винный уксус Лимон Аджика Молотый кориандр Петрушка Укроп Томатный соус Соль Перец черный молотый,0.4391122680663544,"1,00",Свинина запеченная под шубой из перцев и помидор,Картофель Свинина Сладкий перец Помидоры Лук репчатый Растительное масло Сыр Майонез,0.8417391777038574,"0,00"
Шаурма с курицей,"лаваш, куриная грудка, капуста белокочанная, майонез, огурцы свежие, помидоры, лук репчатый красный, перец болгарский, уксус винный белый, масло растительное, сахар...",TF-IDF,10,"Красный картофель, запеченный в духовке с красным луком и красным винным уксусом",Картофель Оливковое масло Красный лук Красный винный уксус Соль Перец черный молотый,0.42117029014464846,"1,00",Рагу,Цветная капуста Кабачки Сладкий перец Помидоры Лук репчатый Соль Морковь Растительное масло,0.8415380120277405,"0,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,1,Ванильная творожная запеканка со сметаной,Творог 500 г Яйцо куриное 5 штук Сметана 25 г Сахар 125 г Пшеничная мука 95 г Соль щепотка Сливочное масло 25 г,0.790329625673984,"1,00",Вареники с творогом и медом,Мука из полбы Кефир 1%-ый Яйцо куриное Рассыпчатый творог Сода Соль Мед,0.7400753498077393,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,2,Вареники ленивые отварные,Творог 800 г Пшеничная мука 115 г Сахар 60 г Яйцо куриное 2 штуки Сливочное масло 40 г Соль 8 г,0.7210055579518034,"1,00",Вареники с творогом на пару,Пшеничная мука Яйцо куриное Кефир Соль Сахар Творог Сода Сливочное масло,0.7311153411865234,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,3,Творожное печенье с меренгой,Творог 180 г Сливочное масло 180 г Яйцо куриное 1 штука Пшеничная мука 200 г Соль 3 г Сахар 130 г,0.7210055579518034,"1,00",Творожно-манная запеканка с золотистой корочкой,Творог Сахар Яйцо куриное Соль Манная крупа,0.704780101776123,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,4,Манты с творогом,Пшеничная мука Вода Соль Творог Ванилин Яйцо куриное Сахар Сметана Растительное масло,0.7037408796220057,"1,00",Манты с творогом,Пшеничная мука Вода Соль Творог Ванилин Яйцо куриное Сахар Сметана Растительное масло,0.6941568851470947,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,5,Сочники,Сливочное масло 70 г Сметана 125 г Пшеничная мука 425 г Сахар 250 г Соль щепотка Яйцо куриное 2 штуки Сода 1 чайная ложка Творог 150 г,0.6909189588769145,"1,00",Пышные блины на кефире,Кефир Яйцо куриное Сахар Соль Пшеничная мука Сода,0.6929504871368408,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,6,Творожная пасха с орехами,Сахар 100 г Творог 150 г Сметана 2 г Сливки 50 г Орехи 50 г Яйцо куриное 2 штуки,0.6818813366279234,"1,00","Пудинг из урюка, брюквы и творога",Брюква Урюк Творог Яичный белок Молоко Сливочное масло Сахар Манная крупа Сметана,0.691440224647522,"0,50"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,7,Чизкейк с тыквой без теста,Тыква 300 г Творог 400 г Сахар 100 г Сметана 150 г Яйцо куриное 3 штуки Пшеничная мука 4 столовые ложки Соль 1 чайная ложка,0.6740554432049288,"1,00",Гречневый крупеник с творогом,Гречневая крупа Вода Сухой творог Сахар Яйцо куриное Сметана Сливочное масло Соль Панировочные сухари,0.6911001801490784,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,8,Детское творожное печенье,Сливочное масло 150 г Творог 200 г Пшеничная мука 250 г Сахар 100 г,0.6674934273456248,"1,00",Творожный пудинг в микроволновке,Творог Яйцо куриное Сахар Манная крупа Мак Лимонный сок Соль Разрыхлитель Ванильный сахар,0.6879290342330933,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,9,Ленивые вареники со сметаной,Творог 500 г Пшеничная мука 5 столовых ложек Сахар 3 столовые ложки Яйцо куриное 1 штука Соль по вкусу Сметана по вкусу,0.6653524627217147,"1,00",Ленивые вареники с творогом,Сахар Сухой творог Яйцо куриное Пшеничная мука Соль,0.6811034083366394,"1,00"
Ленивые вареники (за 10 минут),"творог, яйцо куриное, мука пшеничная, соль, сахар, масло сливочное, сметана",TF-IDF,10,Ленивые вареники с творогом,Сахар Сухой творог Яйцо куриное Пшеничная мука Соль,0.6648007678622911,"1,00",Тесто для вареников и пельменей на сметане,Сметана Соль Пшеничная мука Сода,0.6809212565422058,"1,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,1,Котлеты с перцем,Перец черный молотый Мясной фарш,0.6708014548965213,"1,00","Перец, фаршированный мясом и рисом",Сладкий перец Фарш Рис Томатная паста Лук Чеснок Соль Яйцо куриное Перец черный молотый Приправы Зелень,0.726503849029541,"1,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,2,Баклажаны по‑турецки,Баклажаны Помидоры Мясной фарш Лук репчатый Чеснок Паприка Сахар Соль Мясной бульон Оливковое масло Зеленый перец Помидоры черри,0.6555975177176888,"1,00",Картофельная запеканка по‑простецки,Фарш Картофель Лук Майонез Соль Перец черный молотый,0.724004864692688,"1,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,3,Гамбургеры с сыром,Сыр Мясной фарш Соль Перец черный молотый,0.6520674865898068,"1,00",Фаршированные баклажаны с мясом и рисом,Сметана Зелень Помидоры Перец черный молотый Соль Чеснок Лук репчатый Рис Фарш Баклажаны,0.7202947735786438,"0,50"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,4,Картофельно-мясная запеканка с грибами и сырной корочкой,Картофель Мясной фарш Лук репчатый Яйцо куриное Российский сыр Зелень Перец черный молотый Соль Шампиньоны,0.6412996842525007,"1,00","Мясо, запеченное под шубой из кабачков",Кабачки Лук Чеснок Зелень Майонез Мясо Перец черный молотый Соль Помидоры Тертый сыр,0.7188929319381714,"0,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,5,Сырный суп с фрикадельками,Картофель 3 штуки Мясной фарш 300 г Морковь 1 штука Лук репчатый 1 штука Сыр 50 г Перец черный молотый по вкусу Соль по вкусу,0.6304369925077363,"1,00",Купаты в томатном соусе,Купаты Лук Чеснок Томатная паста Соль Перец черный молотый,0.7116072773933411,"1,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,6,Стожки,Мясной фарш Лук репчатый Картофель Яйцо куриное Сыр Майонез,0.6150080090069386,"1,00",Картофельная запеканка с мясом и сладким луком,Картофель Мясной фарш Лук Майонез Сыр Сладкий красный лук Специи для мяса Соль Перец черный молотый,0.709966778755188,"1,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,7,Картофельная запеканка с помидорами,Фарш Лук репчатый Помидоры Картофель Сыр Соль Перец черный молотый Чеснок,0.6125712456714267,"1,00",Чашушули с томатной пастой из телятины,Телятина Растительное масло Помидоры Лук репчатый Томатная паста Зелень Специи Чеснок Соль,0.7095885276794434,"0,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,8,Картофельные зразы с мясом,Мясной фарш Картофель Лук репчатый Чеснок Яйцо куриное Пшеничная мука Специи,0.6107745545033674,"1,00",Летнее рагу в мультиварке,Кабачки Баклажаны Картофель Помидоры Лук репчатый Чеснок Томатная паста Аджика Соль Перец черный молотый Петрушка Фарш Сметана,0.707277774810791,"0,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,9,Картофельный рулет с мясной начинкой,Картофель Молоко Яйцо куриное Пшеничная мука Тмин Панировочные сухари Сливочное масло Соль Перец черный молотый Лук репчатый Мясной фарш Сыр Зелень,0.6078159922459818,"1,00",Печеные голубцы из савойской капусты,Савойская капуста Фарш Лук Помидоры Тимьян Чеснок Соль Перец черный молотый Паприка,0.7059981226921082,"0,00"
Сливочный суп с фаршем,"фарш мясной, помидоры, картофель, лук репчатый, чеснок, сливки, масло сливочное, паприка молотая, соль, перец чёрный молотый, сахар, зелень петрушки...",TF-IDF,10,Картопляники,Картофель 8 штук Лук репчатый 1 головка Мясной фарш 400 г Пшеничная мука 1 стакан Яйцо куриное 2 штуки Зелень 1 пучок Соль по вкусу Растительное масло по вкусу,0.6050916538916085,"1,00",Крылышки ароматные,Куриные крылья Мелко рубленный чеснок Соль Перец черный молотый Специи,0.7059669494628906,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,1,Стейк средней прожарки,Говяжья грудинка Соль Специи,0.5101135325963684,"0,00",Свинина по‑домашнему,Свинина Лук Морковь Майонез Сыр,0.8362573385238647,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,2,"Омлет с болгарским перцем, грибами, помидорами и грудинкой",Яйцо куриное Сладкий перец Помидоры Копченая грудинка Свежие шампиньоны,0.4922109744746351,"1,00",Куриные сердца с овощами в горшочке,Куриные сердца Лук Морковь Сметана Майонез Соль Капуста брокколи Перец черный молотый Специи,0.831504225730896,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,3,Толма по‑грузински,Говяжья грудинка Свиная грудинка Рис Лук репчатый Кинза Красный базилик Укроп Листья эстрагона Сливочное масло Листья винограда Соль,0.48756988603635004,"0,00",Тушеная курица с картофелем и баклажанами,Куриные окорочка Картофель Баклажаны Сладкий перец Лук репчатый Помидоры Морковь Чеснок Соль Специи Зелень Сметана,0.8162314891815186,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,4,Салат из копченой грудинки и яиц с листьями зеленого салата,Копченая грудинка 200 г Зеленый салат 1 пучок Яйцо куриное 4 штуки Уксус 1 столовая ложка Растительное масло 50 мл Петрушка 20 г Базилик 20 г Перец черный молотый по вкусу Соль по вкусу,0.4594177237161883,"1,00",Желудки в сметане,Куриные желудки Лук репчатый Морковь Помидоры Сладкий перец Сметана Зелень Соль Растительное масло,0.8157415390014648,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,5,Жаркое из свиной грудинки с корочкой,Лук репчатый Свиная грудинка Яблоко Тимьян Оливковое масло Морская соль Перец черный молотый,0.45913345858439797,"0,00",Овощные маффины с курицей,Кабачки Куриный фарш Морковь Лук Яйцо куриное Петрушка Укроп Соль Специи Растительное масло,0.8149203658103943,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,6,"Салат Original с куриной грудкой, фасолью и ананасами",Копченая грудинка 300 г Консервированный ананас 400 г Сухарики 200 г Майонез по вкусу Красная фасоль 400 г,0.45157138782663564,"0,50",Жареная свинина,Лук репчатый Свинина Морковь Майонез,0.8144038319587708,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,7,Яичный салат,Яйцо куриное 10 штук Майонез 100 г Зеленый лук 1 пучок Перец черный молотый по вкусу Соль по вкусу,0.45042963666206964,"0,00",Лапша с острой курицей,Куриное филе Лук Морковь Соевый соус Перец чили,0.8130277395248413,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,8,Фасолевый салат с копченой курицей,Маринованные грибы 470 г Красная консервированная фасоль 310 г Сладкий перец 1 штука Копченая грудинка 350 г Лук 3 штуки Легкий майонез по вкусу Растительное масло по вкусу,0.44680093300795215,"1,00","Мясо картофелем, помидорами и сыром",Помидоры Куриное филе Лук Картофель Чеснок Сыр Зелень Соль Приправы Майонез,0.8122262358665466,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,9,"Картофель, тушенный с копченой грудинкой",Картофель Копченая грудинка Лук репчатый Томатное пюре Растительное масло,0.4346083109815196,"0,00",Картошка с куриными бедрышками и шампиньонами в мультиварке,Морковь Куриные бедра Лук репчатый Шампиньоны Майонез Кетчуп Соль Приправа для курицы Соевый соус Картофель,0.8120153546333313,"0,00"
"Салат ""Петергоф""","морковка корейская, перец болгарский, куриная грудинка, лук зелёный, майонез",TF-IDF,10,Копченный мясной салат с маринованными огурцами,Карбонад 100 г Свиная грудинка 100 г Маринованные огурцы 2 штуки Лук репчатый 1 головка Яблоко 1 штука Оливковый майонез по вкусу,0.42916859372854554,"0,00",Овощное рагу с куриной печенью,Белокочанная капуста Баклажаны Лук Морковь Помидоры Картофель Куриная печень Соль Перец черный молотый Лавровый лист Сладкий перец Растительное масло,0.8120077848434448,"0,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,1,Венское шоколадное сабле,Пшеничная мука 260 г Сливочное масло 250 г Соль щепотка Яичный белок 2 штуки Сахарная пудра 100 г Какао 30 г,0.5921378544505953,"1,00",Тарт с лимонным кремом и меренгой,Сахар Сливочное масло Сахарная пудра Яичный желток Пшеничная мука Лимонный сок Яйцо куриное Желатин Лимонная цедра Яичный белок Вода,0.46388766169548035,"1,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,2,Пирожные макароны с шоколадом,Миндальная пудра 160 г Какао 36 г Сахарная пудра 327 г Сахар 73 г Яичный белок 6 штук,0.564152368398375,"1,00","Пудинг из урюка, брюквы и творога",Брюква Урюк Творог Яичный белок Молоко Сливочное масло Сахар Манная крупа Сметана,0.45412397384643555,"0,50"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,3,Шоколадная глазурь,Сливочное масло 100 г Ваниль 5 мл Какао 50 г Молоко 30 мл Сахарная пудра 250 г,0.5580886998937405,"1,00",Клубника Конде,Рис Молоко Яичный желток Клубника Бренди Ванильный стручок Лимонный сок Сахар Сахарная пудра,0.44774091243743896,"0,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,4,Песочное печенье с вареными желтками,Пшеничная мука 1 стакан Маргарин 250 г Сахар 1 стакан Яйцо куриное 4 штуки Сахарная пудра 50 г Какао 50 г,0.5521817749790536,"1,00",Манный пудинг с кабачками и яблоками,Кабачки Яблоко Молоко Сливочное масло Сахар Яичный белок Манная крупа Сметана,0.4441049098968506,"0,50"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,5,Печенье с молочным шоколадом и бананом,Сливочное масло 150 г Яичный желток 2 штуки Сахарная пудра 150 г Шоколад 1 штука Бананы 1 штука Соль по вкусу Какао 20 г Пшеничная мука 200 г,0.5144624578600783,"1,00",Вареники с творогом на пару,Пшеничная мука Яйцо куриное Кефир Соль Сахар Творог Сода Сливочное масло,0.4417199492454529,"1,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,6,Кофейная глазурь,Черный кофе 45 мл Сливочное масло 90 г Какао 45 г Ваниль 5 мл Сахарная пудра 500 г,0.5064403338897738,"1,00",Ванильная овсяная каша со свежей голубикой,Молоко Ванильный сахар Овсяные хлопья Голубика,0.4410526752471924,"0,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,7,Сливочно-шоколадный крем,"Сливки 35%-ные 1 стакан Какао 1 столовая ложка Желатин 10 г Сахарная пудра 0,3 стакана ",0.5062357939186023,"1,00",Творожный пудинг в микроволновке,Творог Яйцо куриное Сахар Манная крупа Мак Лимонный сок Соль Разрыхлитель Ванильный сахар,0.4347972869873047,"1,00"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,8,Шоколадные маффины с маленькими кусочками шоколада,Сливочное масло 200 г Пшеничная мука 150 г Сахарная пудра 200 г Яйцо куриное 2 штуки Какао-порошок 50 г Пекарский порошок 2 чайные ложки Молоко 160 мл Шоколад 50 г,0.5041942450179678,"1,00",Творожная Пасха,Творог Яичный желток Сливочное масло Сметана 30%-ная Сахар Изюм Жареный миндаль Цукаты Ванилин,0.42542028427124023,"0,50"
"Песочное печенье ""Овечки""","масло сливочное, мука, яйца, сахарная пудра, какао-порошок",TF-IDF,9,Курабье,Пшеничная мука 300 г Сливочное масло 100 г Соль щепотка Сахарная пудра 30 г,0.49477550301603684,"1,00",Суфле паровое манное на молоке,Сахар Вода Яйцо куриное Молоко Манная крупа Сливочное масло,0.4243665039539337,"0,50"
